"EM_AFT","EM_Cox","StoEM_AFT","StoEM_Cox","EM_AFT_SD","EM_Cox_SD","StoEM_AFT_SD","StoEM_Cox_SD"
0.186917892449626,0.295306735218563,0.193995885630556,0.281708442550881,0.0413282526082,0.0402623263250819,0.0411139075406271,0.0383571616926963
0.17469578820164,0.2889728866469,0.222865712533105,0.373280667162963,0.0521531765813835,0.0468430120440559,0.0402314314372055,0.0371432857147838
0.261779765504472,0.362961850007887,0.262835714331131,0.396888886101034,0.0404759008798863,0.0385409848841247,0.0358859831833827,0.0381494990393735
0.163890226221923,0.261211584101139,0.155610371586986,0.268607006995194,0.030230993731488,0.0280404878775842,0.0272069095783069,0.0293436180934826
0.197991116875785,0.314196391561487,0.206377522429854,0.343757242957348,0.0394194395343891,0.0375049369047423,0.0341013811606502,0.0393353561536127
0.123483730736405,0.241162410729489,0.196578835023882,0.312681274658947,0.0471712892161062,0.04380103648311,0.0316439501406592,0.0371757661032423
0.217456737087368,0.330979321747125,0.153767050540009,0.355613475397663,0.0398788523798521,0.0352325780729696,0.0298978217783524,0.0351600918310553
0.123994686697935,0.234687774762843,0.15136068419139,0.253417179577204,0.0306273263848983,0.0300322812648861,0.029253940132379,0.031656190259047
0.233618095339895,0.345745275398997,0.219593002417846,0.347218050196115,0.0466775574854967,0.0407099085318608,0.0324504796087802,0.0358687594006755
0.186680274425517,0.291873033277926,0.182547372858813,0.312467586046812,0.0425730596200772,0.0365318824751088,0.0280458562511957,0.0287776712140071
